Year,Province name,District Number,Election,registered_voters,valid_votes,invalid_votes,"Candidate names, President and Vice President",Candidate pair number,Number of valid votes,Elected to the presidency,Percentage of valid votes,District number,Number of valid votes for each candidate pair,V12,Validation,V14,V15
2014,Kalimantan Timur,,President & Vice President,2925330,1877890,15551,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.63,,,,,,
2014,Kepulauan Riau,,President & Vice President,1323627,824727,5298,"",,,,,,,,,,
2014,Kepulauan Riau,,President & Vice President,1323627,824727,5298,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.4,,,,,,
2014,Kepulauan Riau,,President & Vice President,1323627,824727,5298,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.6,,,,,,
2014,Lampung,,President & Vice President,5976211,433813,27179,"",,,,,,,,,,
2014,Lampung,,President & Vice President,5976211,433813,27179,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.47,,,,,,
2014,Lampung,,President & Vice President,5976211,433813,27179,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.53,,,,,,
2014,Maluku,,President & Vice President,1216296,877021,4427,"",,,,,,,,,,
2014,Maluku,,President & Vice President,1216296,877021,4427,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.49,,,,,,
2014,Maluku,,President & Vice President,1216296,877021,4427,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.51,,,,,,
2014,Maluku Utara,,President & Vice President,840253,563393,2577,"",,,,,,,,,,
2014,Maluku Utara,,President & Vice President,840253,563393,2577,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.54,,,,,,
2014,Maluku Utara,,President & Vice President,840253,563393,2577,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.46,,,,,,
2014,Nusa Tenggara Barat,,President & Vice President,3522679,2545416,24581,"",,,,,,,,,,
2014,Nusa Tenggara Barat,,President & Vice President,3522679,2545416,24581,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.72,,,,,,
2014,Nusa Tenggara Barat,,President & Vice President,3522679,2545416,24581,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.28,,,,,,
2014,Nusa Tenggara Timur,,President & Vice President,3185121,257467,16612,"",,,,,,,,,,
2014,Nusa Tenggara Timur,,President & Vice President,3185121,257467,16612,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.34,,,,,,
2014,Nusa Tenggara Timur,,President & Vice President,3185121,257467,16612,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.66,,,,,,
2014,Papua,,President & Vice President,3238288,2795867,37378,"",,,,,,,,,,
2014,Papua,,President & Vice President,3238288,2795867,37378,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.28,,,,,,
2014,Papua,,President & Vice President,3238288,2795867,37378,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.72,,,,,,
2014,Papua Barat,,President & Vice President,715462,532907,3363,"",,,,,,,,,,
2014,Papua Barat,,President & Vice President,715462,532907,3363,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.32,,,,,,
2014,Papua Barat,,President & Vice President,715462,532907,3363,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.68,,,,,,
2014,Riau,,President & Vice President,4208306,2692155,17623,"",,,,,,,,,,
2014,Riau,,President & Vice President,4208306,2692155,17623,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.5,,,,,,
2014,Riau,,President & Vice President,4208306,2692155,17623,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.5,,,,,,
2014,Sulawesi Barat,,President & Vice President,887577,621515,3428,"",,,,,,,,,,
2014,Sulawesi Barat,,President & Vice President,887577,621515,3428,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.27,,,,,,
2014,Sulawesi Barat,,President & Vice President,887577,621515,3428,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.73,,,,,,
2014,Sulawesi Selatan,,President & Vice President,6323711,4251883,22732,"",,,,,,,,,,
2014,Sulawesi Selatan,,President & Vice President,6323711,4251883,22732,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.29,,,,,,
