Year,Province name,District number,Election,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,"""Province name""",Total Valid votes in district,Invalid votes
2014,Banten,1,DPR,1798083,1173116,147,Partai Demokrasi Indonesia Perjuangan,4,174580,Province name,,
2014,Banten,1,DPR,1798083,1173116,147,Partai Golongan Karya,5,192641,Province name,,
2014,Banten,1,DPR,1798083,1173116,147,Partai Gerakan Indonesia Raya,6,141161,Province name,,
2014,Banten,1,DPR,1798083,1173116,147,Partai Demokrat,7,138046,Province name,,
2014,Banten,1,DPR,1798083,1173116,147,Partai Amanat Nasional,8,37898,Province name,,
2014,Banten,1,DPR,1798083,1173116,147,Partai Persatuan Pembangunan,9,138003,Province name,,
2014,Banten,1,DPR,1798083,1173116,147,Partai Hati Nurani Rakyat,10,50402,Province name,,
2014,Banten,1,DPR,1798083,1173116,147,Partai Bulan Bintang,14,24598,Province name,,
2014,Banten,1,DPR,1798083,1173116,147,Partai Keadilan dan Persatuan Indonesia,15,4920,Province name,,
2014,Banten,2,DPR,1819272,1084829,313,"",,,Province name,,
2014,Banten,2,DPR,1819272,1084829,313,Partai Nasional Demokrat,1,73425,Province name,,
2014,Banten,2,DPR,1819272,1084829,313,Partai Kebangkitan Bangsa,2,73477,Province name,,
2014,Banten,2,DPR,1819272,1084829,313,Partai Keadilan Sejahtera,3,91247,Province name,,
2014,Banten,2,DPR,1819272,1084829,313,Partai Demokrasi Indonesia Perjuangan,4,117960,Province name,,
2014,Banten,2,DPR,1819272,1084829,313,Partai Golongan Karya,5,148768,Province name,,
2014,Banten,2,DPR,1819272,1084829,313,Partai Gerakan Indonesia Raya,6,169466,Province name,,
2014,Banten,2,DPR,1819272,1084829,313,Partai Demokrat,7,76324,Province name,,
2014,Banten,2,DPR,1819272,1084829,313,Partai Amanat Nasional,8,130641,Province name,,
2014,Banten,2,DPR,1819272,1084829,313,Partai Persatuan Pembangunan,9,105439,Province name,,
2014,Banten,2,DPR,1819272,1084829,313,Partai Hati Nurani Rakyat,10,58676,Province name,,
2014,Banten,2,DPR,1819272,1084829,313,Partai Bulan Bintang,14,25381,Province name,,
2014,Banten,2,DPR,1819272,1084829,313,Partai Keadilan dan Persatuan Indonesia,15,14025,Province name,,
